material_entity_id	material_entity_type	material_entity_type_iri	material_entity_type_vocabulary	institution_code	institution_id	owner_institution_code	owner_institution_id	collection_code	collection_id	catalog_number	other_catalog_numbers	record_number	preparations	disposition	verbatim_label	associated_sequences	material_citation	material_entity_remarks	material_gathering_id	evidence_for_occurrence_id	derived_from_material_entity_id	derivation_type	derivation_type_iri	derivation_type_vocabulary	part_of_material_entity_id
ECOSUR-SC:ECOAB:11940	Organism			ECOSUR-SC				ECOAB		11940	ECOSUR-SC:ECOAB:11940								4baf7699-55b8-461e-a047-61a969dbf09b	e9751cd6-efe8-4167-a72d-3639b97d72d0					
ECOSUR-SC:ECOAB:11946	Organism			ECOSUR-SC				ECOAB		11946	ECOSUR-SC:ECOAB:11946								966df4eb-d51e-47fa-93ae-68ea455834dd	9623c7e0-4e05-441f-a65b-bc99258405b2					
ECOSUR-SC:ECOAB:11947	Organism			ECOSUR-SC				ECOAB		11947	ECOSUR-SC:ECOAB:11947								ad377ddd-5cc6-4116-a3e1-38209aeaff2b	69b862dc-e91e-4ae8-90a4-383cbc7a261c					
ECOSUR-SC:ECOAB:11950	Organism			ECOSUR-SC				ECOAB		11950	ECOSUR-SC:ECOAB:11950								43567958-746b-48f0-be01-766518cd12ae	4eeb294e-33a7-41db-b387-a954dcd26632					
ECOSUR-SC:ECOAB:11953	Organism			ECOSUR-SC				ECOAB		11953	ECOSUR-SC:ECOAB:11953								9dd60203-1d53-44ad-9aa5-e6f06acdc469	4e3be36f-bba5-4432-a669-c79dc782f486					
ECOSUR-SC:ECOAB:11954	Organism			ECOSUR-SC				ECOAB		11954	ECOSUR-SC:ECOAB:11954								ced3aab6-afd3-4de6-b0de-e4d09633fb4f	0ebca2ce-d212-4853-94c9-816dd63084ad					
ECOSUR-SC:ECOAB:11955	Organism			ECOSUR-SC				ECOAB		11955	ECOSUR-SC:ECOAB:11955								5f027464-9073-4935-82f0-2966aea91602	9effdde3-de1c-434c-9781-08c79f412229					
ECOSUR-SC:ECOAB:11958	Organism			ECOSUR-SC				ECOAB		11958	ECOSUR-SC:ECOAB:11958								e8f46b5d-1885-4e0a-8858-0f275475448b	b7ea52fe-7115-4c9f-a327-04193016dce1					
ECOSUR-SC:ECOAB:11959	Organism			ECOSUR-SC				ECOAB		11959	ECOSUR-SC:ECOAB:11959								9cdd2cac-fd95-4f3a-a695-1c723154f416	6645578b-2216-4756-8808-cf131768dfa5					
ECOSUR-SC:ECOAB:11960	Organism			ECOSUR-SC				ECOAB		11960	ECOSUR-SC:ECOAB:11960								093f8a34-edc1-4a9e-9965-99b0fbc80f26	54c7a13c-6b63-44e9-883b-ebdbb590339e					
ECOSUR-SC:ECOAB:11961	Organism			ECOSUR-SC				ECOAB		11961	ECOSUR-SC:ECOAB:11961								d2e88050-712e-440d-9ebd-4fc308f774a2	84c03980-9d0d-47e5-969a-1f34f80f9f04					
ECOSUR-SC:ECOAB:11995	Organism			ECOSUR-SC				ECOAB		11995	ECOSUR-SC:ECOAB:11995								fc4e2fb9-3b64-44c2-8077-a70ed2fa2ecf	76a73b13-4510-4da9-81e2-fc6bbdd445e3					
ECOSUR-SC:ECOAB:11998	Organism			ECOSUR-SC				ECOAB		11998	ECOSUR-SC:ECOAB:11998								96d16a6f-41b4-49ae-80d5-4bc43beef16c	f50b4d03-5104-4de3-acf9-f2320900ae49					
ECOSUR-SC:ECOAB:120009	Organism			ECOSUR-SC				ECOAB		120009	ECOSUR-SC:ECOAB:120009								1457b486-7e26-4097-a1de-1e20a08b5e3f	0274bcb0-f293-4fd7-b1d5-a2fb1c6aaab3					
ECOSUR-SC:ECOAB:120010	Organism			ECOSUR-SC				ECOAB		120010	ECOSUR-SC:ECOAB:120010								4c51352c-11ed-4674-99ec-0b57e0c33e67	4217b01e-6d26-4adf-a436-9d76580305bb					
ECOSUR-SC:ECOAB:120011	Organism			ECOSUR-SC				ECOAB		120011	ECOSUR-SC:ECOAB:120011								bc41e853-5a0d-4789-a8ed-e77a458efeb4	b60ed2e8-a485-4a66-b16c-edfc807b172c					
ECOSUR-SC:ECOAB:120012	Organism			ECOSUR-SC				ECOAB		120012	ECOSUR-SC:ECOAB:120012								276a1a36-505c-49ca-92b2-447a43bb8f70	760473e1-a132-4bf4-9990-240ba93e1205					
ECOSUR-SC:ECOAB:120013	Organism			ECOSUR-SC				ECOAB		120013	ECOSUR-SC:ECOAB:120013								d6e2be21-29f0-4ea2-a659-879579d60d73	6ab486e6-3495-42df-b747-84a20deff87f					
ECOSUR-SC:ECOAB:120014	Organism			ECOSUR-SC				ECOAB		120014	ECOSUR-SC:ECOAB:120014								029854a8-78cd-4914-bfe3-1472e329d079	4f1ce552-0b4f-4a66-b756-26d287a7c645					
ECOSUR-SC:ECOAB:120015	Organism			ECOSUR-SC				ECOAB		120015	ECOSUR-SC:ECOAB:120015								7ffee12f-7e10-4934-8311-ce9046fc1e8c	d0686f53-aeac-4631-aa2a-97b23e5e9b20					
ECOSUR-SC:ECOAB:120016	Organism			ECOSUR-SC				ECOAB		120016	ECOSUR-SC:ECOAB:120016								27a8477f-eac6-4250-98f4-9bd8d7391b9e	cea3d717-3883-4cb8-8aac-29fe0b9c734b					
ECOSUR-SC:ECOAB:120017	Organism			ECOSUR-SC				ECOAB		120017	ECOSUR-SC:ECOAB:120017								3981ce05-e2fa-4e02-87e4-cd0351053909	1b217f32-12d6-44d5-8d84-feb0d9bf812d					
ECOSUR-SC:ECOAB:120018	Organism			ECOSUR-SC				ECOAB		120018	ECOSUR-SC:ECOAB:120018								66481e31-ff29-485e-8a22-382fe89a9c1d	5e85a553-11d6-4711-8ab7-532e6a821743					
ECOSUR-SC:ECOAB:120019	Organism			ECOSUR-SC				ECOAB		120019	ECOSUR-SC:ECOAB:120019								53cdafff-aea0-492d-a6be-45c5d3f9a7fe	b6f2f8dd-cbc5-46a0-b9a9-7f3f1640e74a					
ECOSUR-SC:ECOAB:12002	Organism			ECOSUR-SC				ECOAB		12002	ECOSUR-SC:ECOAB:12002								7f46578c-e028-4146-9543-d9512f11827a	54d38594-b83b-403e-b39b-acc09c6fe7ce					
ECOSUR-SC:ECOAB:120020	Organism			ECOSUR-SC				ECOAB		120020	ECOSUR-SC:ECOAB:120020								145f3092-ee00-486f-8b13-dd50b52927e4	d9a6d41b-9b10-4280-b17f-3c8fd0f665a7					
ECOSUR-SC:ECOAB:120021	Organism			ECOSUR-SC				ECOAB		120021	ECOSUR-SC:ECOAB:120021								bbe10e2c-e413-4cdb-9543-af4813e7c2fc	5f128fcf-9b2e-48ed-ac4c-ff842289b58c					
ECOSUR-SC:ECOAB:120022	Organism			ECOSUR-SC				ECOAB		120022	ECOSUR-SC:ECOAB:120022								c0c8658d-f050-49aa-847e-bd3fa7f77736	a9383667-2665-47c9-8131-758eea7e9891					
ECOSUR-SC:ECOAB:120023	Organism			ECOSUR-SC				ECOAB		120023	ECOSUR-SC:ECOAB:120023								1c85ec32-5e74-41ab-9534-1dee69bf61ba	24742176-43c0-4461-b3ce-c58bea23e1f8					
ECOSUR-SC:ECOAB:120024	Organism			ECOSUR-SC				ECOAB		120024	ECOSUR-SC:ECOAB:120024								ed6913f2-6dd2-4091-bfbf-13aae261dd2a	4a616da6-643d-4677-bc4c-3a6138929f80					
ECOSUR-SC:ECOAB:120029	Organism			ECOSUR-SC				ECOAB		120029	ECOSUR-SC:ECOAB:120029								5f0e2e5a-f341-4f8d-837f-4c236311e380	e1170236-9318-439c-a002-ccb664cf6f05					
ECOSUR-SC:ECOAB:12003	Organism			ECOSUR-SC				ECOAB		12003	ECOSUR-SC:ECOAB:12003								190556d9-57be-44c1-a6fd-a31003c6421d	84331ad1-de55-497a-ab0a-5bb81c22f431					
